ID,sha1,annee,largeur,hauteur,url,couleur,taille
63,Kumohata.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kumohata.jpg,"[208.1468991140331, 200.76164618462292, 198.14832809373905]",petite
64,Immortal-Verse20111120.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Immortal-Verse20111120.jpg,"[30.069600499378524, 26.841136079901823, 22.626404494380886]",petite
65,Kurofune%20at%20NHK%20Mile%20Cup.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kurofune%20at%20NHK%20Mile%20Cup.jpg,"[134.8478983973386, 134.4306017538564, 105.54399758088819]",petite
66,Invincible%20Spirit.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Invincible%20Spirit.jpg,"[24.499645975928516, 38.901345291478385, 28.190936983713623]",petite
67,Ouken-Sakura20100411.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Ouken-Sakura20100411.jpg,"[43.54021548483773, 33.679278376345934, 28.866198947634224]",petite
68,Gullveig20120617-1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Gullveig20120617-1.jpg,"[82.00907441016356, 107.02480338777976, 43.01572897761695]",petite
69,Kizuna%20IMG%207021-2%2020140406.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kizuna%20IMG%207021-2%2020140406.JPG,,petite
70,Keiai-gerbera20100920.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Keiai-gerbera20100920.jpg,"[169.49133095359556, 194.99949005609565, 192.41407445180948]",petite
71,%E7%9A%90%E6%9C%88%E8%B3%9E%20%E3%82%B3%E3%83%87%E3%82%A3%E3%83%BC%E3%83%8E.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/%E7%9A%90%E6%9C%88%E8%B3%9E%20%E3%82%B3%E3%83%87%E3%82%A3%E3%83%BC%E3%83%8E.JPG,,petite
72,Wind%20in%20Her%20Hair%2020140803.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Wind%20in%20Her%20Hair%2020140803.JPG,,petite
73,Air%20Shakur%2020001126C1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Shakur%2020001126C1.jpg,"[142.9803970846951, 145.64739884393057, 143.71726564463344]",petite
74,Airdublin.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Airdublin.JPG,,petite
75,Kiss%20to%20Heaven%2020080517P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kiss%20to%20Heaven%2020080517P1.jpg,"[168.7910894795957, 181.31598652190198, 163.76525645825478]",petite
76,Kongo%20Rikishio.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kongo%20Rikishio.jpg,"[116.68806006296933, 130.58634051828463, 59.33252603535912]",petite
